Validator,Self-Bonded(AZERO),Total Bonded(AZERO),Nominators,Commission,Grandpa Vote,Reward Point,Latest Mining
5DBhSX89qijHkzUt9gcqsq9RiXxDfbjxyma1z78JSCdt4SoU,"84,850.88697797052","15,651,893.26039614392",793,5.00%,0,24228365,91004089
5Hpz4LwMpRUh1RjMMUDcsJUDSJNzddmQwEMUrwFdKLJzCPiD,"122,863.28407662912","14,150,037.2958887357",131,5.00%,0,21903560,91004099
5Fgato4wJxwZicavjaKQ9oG5e2M1S5wUfy7mMxsw1HTw95ub,"57,747.80708463806","11,309,457.49137862116",8,5.00%,0,17506475,91002560
5EEp31xy9j34ddaXRzWQDP6nyydz4hJiVHSpadvYn5BpeZR7,"700,979.5513457866","10,922,932.2158155975",12,5.00%,0,16908150,91001681
5EvQaBZpAkKZ3ad3ZJh6kUugCyX4TRmUYBsuQs9avbHaEQpf,"51,184.074485894","10,113,970.40530260662",6,5.00%,0,15655920,91003475
5CAfDYiu7fArHfXgM79zsC4BbnWPCpztnmGowC7rLkEEtmzc,"25,000","10,025,000",1,5.00%,0,15518195,91003479
5DtnzFxXHDMya1oviGdWw7R9x5zvJVRkDKiqV2KqBnd9zJDQ,"25,200","9,953,215.60987017338",240,5.00%,0,15407070,91000768
5GgfhVKcdSDdV4e3dRSBzxkzZRm1nmsLNGBeb9bPcKJN6kL7,"25,000","9,025,000",1,5.00%,0,13970250,91004108
5FTsYv3dgJsjndE3ktF1Rp3rF6UjGybGW2mcYVuaFzfrC4Cv,"25,000","8,858,899.42369482466",305,5.00%,0,13713140,91001657
5E1aQhyfWTL7UzZ9yMDTsDQTGQuCUgrukGkTHmjhBHDqz7d5,"25,000.0389154113","7,429,261.40590311438",311,5.00%,0,11500125,91002580
5CJYS1TcUoDtNoc1zRzJZRpRQMn3pGcpscMUs1xfNAWcqDD1,"25,000","6,747,119.93167972254",87,5.00%,0,10444210,91002600
5DM1phZn4jwSVhTG6znYTkCEhz3tqPFHr34jSkB57MXv83iz,"25,930.06967257982","5,955,800.8638983956",237,5.00%,0,9219280,91001674
