Validator,Self-Bonded(TZERO),Total Bonded(TZERO),Nominators,Commission,Grandpa Vote,Reward Point,Latest Mining
5GW5kbpuYn8Wa2253xLNLn9dZYWJUPJmW7VwmjnziDWdGxiX,"111,139.876546706989","601,858,756.754154413201",519,0.00%,0,29316372,74227564
5CGTtuqDbBQokPQjpa4mQyNKyvYxKpgtZEskDkJxzho1NhbM,"376,249.187236705504","315,077,310.920932240166",516,0.00%,0,15347328,74227562
5DJiXDPDmFN4YCFsPxHWCJ7ZaGXomSn9rNZAbPceYr3PB6qJ,"44,345.238860042395","228,564,573.3618359836",8,1.00%,0,11133318,74227575
5HYzfrjAMGB6zWW3oTg7dhGdWB8cawyU84fCpGar9QhupweS,"211,465.052700248803","61,561,241.532086229029",527,0.00%,0,2998632,74227551
5Grh6bLQmoxinEeiijAfSbGYrYiKhxnxcM2m96s5A64VyAiF,"108,804.030863903511","30,619,183.571658603333",510,0.00%,0,1491450,74227552
5Eo5ZxVUGbT6D8cfAvAxQFhzt3ZqBEb5oE8KCWR9vjvTPSMy,"934,185.893730725714","12,436,922.455268600378",736,0.00%,0,605796,74227546
5DM65dyExgcmFb5XHgV8FZKidcqQRj8d1SZjrqWBiTYBMKZ1,"2,303,292.698699999559","7,404,209.545298535222",3,5.00%,0,360654,74227563
5Fy5GSjhieELw4MpxJxFjmFL6kXiq7NEUojPxzzRrvcWnFLV,"1,413,400.581921353513","3,478,929.194915952599",8,1.00%,0,169458,74227455
5Dkh7kuPm4NMfkmDG1LaVZVWXW3WHYwh7BKEFfNvPiGDrARH,"214,981.21833437606","3,379,521.689891670769",512,0.00%,0,164616,74227579
5FnyjESMB4EBQn1W1vnNKZ5oVUYUmQbTPG4hZbJJm8697TKt,"76,042.71585764063","2,110,424.507426716738",506,0.00%,0,102798,74227544
5DATX2UZZgxAsumbVEsmup2q6LR9Bn81F7KW7PsShgUw8t12,"170,490.171985173305","1,796,072.694278115893",522,0.00%,0,87486,74227537
5GN3rbR41UYWtjoxeuyvBfWEPopH4C2R4z7qhtz2ysF5hmrt,"341,921.516910413266","1,661,291.274547045179",505,0.00%,0,80922,74227572
5Fgato4wJxwZicavjaKQ9oG5e2M1S5wUfy7mMxsw1HTw95ub,"48,561.245051772025","1,322,496.163779033167",3,5.00%,0,64416,74227556
5HNnDD5djTaiUt3A6yf6f1E9oDiM5w5fcNBTLLCoMKf1TEdS,"416,827.68329981973","1,301,262.703551728044",528,0.00%,0,63384,74227576
