Transfer ID,From,To,Amount,Block Timestamp
3174918100004,5CqxoKuHgZ6h8LfDD1UQfWqNiZuXStf8TqC3Mu34EPqDniK1,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,0.00612,2023-05-22 10:19:27
3174918100009,5CqxoKuHgZ6h8LfDD1UQfWqNiZuXStf8TqC3Mu34EPqDniK1,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,0.01056,2023-05-22 10:19:27
3174936800002,5CqxoKuHgZ6h8LfDD1UQfWqNiZuXStf8TqC3Mu34EPqDniK1,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,1000,2023-05-22 10:22:34
3174936800012,5CqxoKuHgZ6h8LfDD1UQfWqNiZuXStf8TqC3Mu34EPqDniK1,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,0.00544,2023-05-22 10:22:34
3193953100002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,540,2023-05-24 15:43:36
3193953100008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,1.08,2023-05-24 15:43:36
3193963300002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,800,2023-05-24 15:45:20
3193963300008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,1.6,2023-05-24 15:45:20
3193967500002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,1230,2023-05-24 15:46:05
3193967500008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,2.46,2023-05-24 15:46:05
3193980900002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,1870,2023-05-24 15:48:30
3193980900008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,3.74,2023-05-24 15:48:30
3193985500002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,2870,2023-05-24 15:49:18
3193985500008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,5.74,2023-05-24 15:49:18
3193990600002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,40215.287203357072,2023-05-24 15:50:09
3193990600010,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,0.00544,2023-05-24 15:50:09
3193997200002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,26200,2023-05-24 15:51:15
3193997200008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,52.4,2023-05-24 15:51:15
3194001500002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,39500,2023-05-24 15:51:58
3194001500008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,79,2023-05-24 15:51:58
3194004800002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,60000,2023-05-24 15:52:31
3194004800008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,120,2023-05-24 15:52:31
