Date,Active Account,New Account
2022-05-11,35,34
2022-05-12,45,22
2022-05-13,868,832
2022-05-14,287,248
2022-05-15,41,4
2022-05-16,38,10
2022-05-17,55,5
2022-05-18,51,8
2022-05-19,1735,1707
2022-05-20,2305,2253
2022-05-21,25,3
2022-05-22,28,4
2022-05-23,1058,1047
2022-05-24,27,2
2022-05-25,69,29
2022-05-26,28,8
2022-05-27,29,5
2022-05-28,21,11
2022-05-29,16,6
2022-05-30,15,5
2022-05-31,23,9
2022-06-01,27,13
2022-06-02,31,3
2022-06-03,27,3
2022-06-04,54,39
2022-06-05,33,23
2022-06-06,28,4
2022-06-07,33,10
2022-06-08,28,4
2022-06-09,20,12
2022-06-10,218,208
2022-06-11,229,4
2022-06-12,211,6
2022-06-13,211,5
2022-06-14,220,9
2022-06-15,235,25
2022-06-16,216,3
2022-06-17,229,18
2022-06-18,211,0
2022-06-19,205,1
2022-06-20,215,5
2022-06-21,213,4
2022-06-22,241,63
2022-06-23,80,50
2022-06-24,68,32
2022-06-25,18,1
2022-06-26,45,13
2022-06-27,62,12
2022-06-28,60,17
2022-06-29,56,20
2022-06-30,44,21
2022-07-01,1424,1388
2022-07-02,1419,1191
2022-07-03,1088,823
2022-07-04,1126,923
2022-07-05,860,633
2022-07-06,480,348
2022-07-07,1275,1164
2022-07-08,615,88
2022-07-09,1607,991
2022-07-10,718,75
2022-07-11,197,82
2022-07-12,145,58
2022-07-13,950,878
2022-07-14,420,47
2022-07-15,122,43
2022-07-16,136,75
2022-07-17,162,78
2022-07-18,167,91
2022-07-19,113,48
2022-07-20,103,51
2022-07-21,132,55
2022-07-22,93,37
2022-07-23,49,4
2022-07-24,72,24
2022-07-25,94,39
2022-07-26,132,40
2022-07-27,108,55
2022-07-28,168,93
2022-07-29,148,86
2022-07-30,104,56
2022-07-31,143,72
2022-08-01,87,25
2022-08-02,112,27
2022-08-03,141,68
2022-08-04,120,59
2022-08-05,81,22
2022-08-06,107,47
2022-08-07,179,117
2022-08-08,106,47
2022-08-09,94,26
2022-08-10,101,35
2022-08-11,126,48
2022-08-12,96,34
2022-08-13,149,62
2022-08-14,518,426
2022-08-15,293,186
2022-08-16,294,187
2022-08-17,344,269
2022-08-18,234,150
2022-08-19,102,39
2022-08-20,109,56
2022-08-21,106,41
2022-08-22,84,25
2022-08-23,128,57
2022-08-24,167,64
2022-08-25,130,47
2022-08-26,115,25
2022-08-27,89,14
2022-08-28,72,16
2022-08-29,86,16
2022-08-30,88,20
2022-08-31,87,20
2022-09-01,78,13
2022-09-02,106,15
2022-09-03,115,58
2022-09-04,1166,834
2022-09-05,2511,1770
2022-09-06,2727,2517
2022-09-07,1935,1733
2022-09-08,1910,1388
2022-09-09,1511,1116
2022-09-10,569,464
2022-09-11,467,328
2022-09-12,896,785
2022-09-13,1364,1154
2022-09-14,1442,1316
2022-09-15,1165,1044
2022-09-16,7932,7472
2022-09-17,13653,13367
2022-09-18,5021,4867
2022-09-19,3932,3726
2022-09-20,3106,2977
2022-09-21,3842,3761
2022-09-22,893,812
2022-09-23,248,169
2022-09-24,129,82
2022-09-25,128,46
2022-09-26,542,474
2022-09-27,1966,1873
2022-09-28,940,861
2022-09-29,521,48
2022-09-30,690,19
2022-10-01,671,33
2022-10-02,704,43
2022-10-03,696,28
2022-10-04,693,35
2022-10-05,672,19
2022-10-06,747,111
2022-10-07,638,10
2022-10-08,589,3
2022-10-09,610,18
2022-10-10,603,8
2022-10-11,603,14
2022-10-12,569,13
2022-10-13,600,2
2022-10-14,596,21
2022-10-15,573,10
2022-10-16,570,12
2022-10-17,564,8
2022-10-18,557,10
2022-10-19,598,49
2022-10-20,673,107
2022-10-21,575,30
2022-10-22,536,36
2022-10-23,554,52
2022-10-24,519,46
2022-10-25,560,33
2022-10-26,598,59
2022-10-27,522,58
2022-10-28,564,78
2022-10-29,371,41
2022-10-30,509,182
2022-10-31,581,54
2022-11-01,674,118
2022-11-02,494,44
2022-11-03,374,45
2022-11-04,374,69
2022-11-05,507,49
2022-11-06,522,19
2022-11-07,476,94
2022-11-08,571,71
2022-11-09,1405,550
2022-11-10,531,130
2022-11-11,579,152
2022-11-12,562,60
2022-11-13,492,53
2022-11-14,424,69
2022-11-15,614,179
2022-11-16,504,143
2022-11-17,324,171
2022-11-18,228,72
2022-11-19,153,43
2022-11-20,233,27
2022-11-21,141,46
2022-11-22,256,109
2022-11-23,1358,1118
2022-11-24,1378,185
2022-11-25,1307,124
2022-11-26,1194,55
2022-11-27,302,145
2022-11-28,282,99
2022-11-29,253,67
2022-11-30,320,135
2022-12-01,237,65
2022-12-02,258,120
2022-12-03,141,37
2022-12-04,138,36
2022-12-05,226,75
2022-12-06,166,43
2022-12-07,164,43
2022-12-08,139,26
2022-12-09,104,30
2022-12-10,484,308
2022-12-11,861,512
2022-12-12,497,255
2022-12-13,630,401
2022-12-14,1521,1193
2022-12-15,1483,877
2022-12-16,927,466
2022-12-17,774,367
2022-12-18,813,401
2022-12-19,726,355
2022-12-20,1328,879
2022-12-21,541,177
2022-12-22,460,133
2022-12-23,427,156
2022-12-24,394,153
2022-12-25,479,136
2022-12-26,304,69
2022-12-27,304,55
2022-12-28,385,66
2022-12-29,399,60
2022-12-30,350,65
2022-12-31,265,34
2023-01-01,197,34
2023-01-02,265,52
2023-01-03,1066,177
2023-01-04,912,170
2023-01-05,509,146
2023-01-06,325,105
2023-01-07,348,133
2023-01-08,550,223
2023-01-09,343,99
2023-01-10,291,70
2023-01-11,308,81
2023-01-12,270,89
2023-01-13,175,42
2023-01-14,195,56
2023-01-15,225,35
2023-01-16,155,29
2023-01-17,151,43
2023-01-18,217,26
2023-01-19,195,23
2023-01-20,61,16
2023-01-21,91,30
2023-01-22,144,80
2023-01-23,183,84
2023-01-24,106,20
2023-01-25,126,19
2023-01-26,226,53
2023-01-27,140,38
2023-01-28,116,30
2023-01-29,122,28
2023-01-30,150,33
2023-01-31,131,28
2023-02-01,234,139
2023-02-02,218,110
2023-02-03,154,52
2023-02-04,90,8
2023-02-05,165,57
2023-02-06,271,156
2023-02-07,238,101
2023-02-08,909,277
2023-02-09,494,174
2023-02-10,242,50
2023-02-11,226,55
2023-02-12,177,33
2023-02-13,245,53
2023-02-14,278,76
2023-02-15,270,83
2023-02-16,302,133
2023-02-17,368,215
2023-02-18,376,207
2023-02-19,343,180
2023-02-20,528,336
2023-02-21,359,189
2023-02-22,306,165
2023-02-23,202,61
2023-02-24,244,100
2023-02-25,178,29
2023-02-26,181,28
2023-02-27,171,32
2023-02-28,147,31
2023-03-01,220,98
2023-03-02,145,30
2023-03-03,210,56
2023-03-04,118,36
2023-03-05,115,25
2023-03-06,179,60
2023-03-07,118,26
2023-03-08,160,23
2023-03-09,173,55
2023-03-10,260,130
2023-03-11,225,106
2023-03-12,143,42
2023-03-13,196,62
2023-03-14,172,31
2023-03-15,133,45
2023-03-16,186,70
2023-03-17,285,141
2023-03-18,282,158
2023-03-19,552,395
2023-03-20,384,196
