Date,Value
2022-05-11,812.9964639
2022-05-12,574.9992761
2022-05-13,1561.996608
2022-05-14,260
2022-05-15,274.9982319
2022-05-16,575
2022-05-17,250447.9999
2022-05-18,1349.994955
2022-05-19,169954
2022-05-20,224410
2022-05-21,1129.997508
2022-05-22,297
2022-05-23,104845.9989
2022-05-24,1069.9988
2022-05-25,3000.982987
2022-05-26,1096.998132
2022-05-27,749.9959926
2022-05-28,848.9976607
2022-05-29,150
2022-05-30,831.992969
2022-05-31,408
2022-06-01,809.9947512
2022-06-02,474.8990458
2022-06-03,2228.919221
2022-06-04,1636.995323
2022-06-05,1279
2022-06-06,500.9982319
2022-06-07,718.9982319
2022-06-08,394.9982319
2022-06-09,714.9978232
2022-06-10,929.9988607
2022-06-11,549.9964639
2022-06-12,270
2022-06-13,549.9964639
2022-06-14,913
2022-06-15,1853.103976
2022-06-16,249.9982319
2022-06-17,2873.1605
2022-06-18,399.9985563
2022-06-19,150
2022-06-20,1348.996464
2022-06-21,1112.793982
2022-06-22,2999.998346
2022-06-23,25890.99272
2022-06-24,8842.6
2022-06-25,4214.997891
2022-06-26,990
2022-06-27,29978.58297
2022-06-28,6157
2022-06-29,7773.996237
2022-06-30,68031.99911
2022-07-01,5940
2022-07-02,2320.4
2022-07-03,3749.996692
2022-07-04,2120
2022-07-05,3331.99211
2022-07-06,1048.098346
2022-07-07,101
2022-07-08,3610.997083
2022-07-09,0
2022-07-10,0
2022-07-11,5962.823199
2022-07-12,2253.523823
2022-07-13,4409.578346
2022-07-14,2998.997696
2022-07-15,26799
2022-07-16,67518
2022-07-17,4679
2022-07-18,55982
2022-07-19,7303.927
2022-07-20,5695.029495
2022-07-21,30651.2512
2022-07-22,1240.5
2022-07-23,910
2022-07-24,27098
2022-07-25,52642
2022-07-26,75225.99499
2022-07-27,2129
2022-07-28,66101.0421
2022-07-29,54474.099
2022-07-30,1067
2022-07-31,34977.99429
2022-08-01,6901.60096
2022-08-02,4067.997883
