Date,Circulating,Staking,Others
2024-02-02,0,0,11591284154
2024-02-03,8805337807,5253919.703,2780692428
2024-02-04,8799324212,140066733.6,2652058196
2024-02-05,8961812115,290655436.5,2338981590
2024-02-06,8963750365,290727826.6,2337054575
2024-02-08,9908640544,104822398.2,1578322509
2024-02-09,9782805057,268434637.9,1540545756
2024-02-10,9967247967,292207366.4,1332413074
2024-02-11,10056767817,292801697.6,1242465849
2024-02-12,10110641781,292873476.3,1188603362
2024-02-13,10168326490,292946012.3,1130929044
2024-02-14,10272019103,293016636.9,1027248768
2024-02-15,10666367029,293219317.6,632781136.5
2024-02-16,11059898043,295601379.4,236951061.5
2024-02-17,11212376010,295673668.8,84484291.71
2024-02-18,11212388879,295744811.5,84483372.09
2024-02-19,11212401239,295816181.8,84482562.45
2024-02-20,11211364145,296985631.7,84436225.41
2024-02-21,11211353250,297063076.4,84456233.09
2024-02-22,11211373838,297137137.4,84448046.33
2024-02-23,11211377692,297208854.3,84455561.6
2024-02-24,11210458591,298171730.5,84494969.77
2024-02-25,11210469395,298244087.1,84494549.68
2024-02-26,11210380737,298415738.2,84495012.26
2024-02-27,11210210262,298561683.1,84527833.67
2024-02-28,11209440102,299397943.4,84527471.54
2024-02-29,11209829106,299418567.6,84126330.52
2024-03-01,11209815265,299419566.6,84147596.88
2024-03-02,11209809743,299424026.6,84148659.41
2024-03-03,11208863330,300331986.5,84195990.38
2024-03-04,11208894074,300332086.5,84174008.23
2024-03-05,11208974279,300685266.1,84097881.36
2024-03-06,11209001938,300690567.1,84073180.35
2024-03-07,11208170952,301805184.8,84075724.05
2024-03-08,11208182515,301876963.6,84074545.39
2024-03-09,11208193827,301947976.9,84074740.89
2024-03-10,11207532885,302690379.6,84075814.47
2024-03-11,11207494434,302812018.3,84074791.83
2024-03-12,11207485513,302902885.5,84075003.64
2024-03-13,11207434878,303009435.1,84101234.64
2024-03-14,11206512440,304014306.6,84100962.48
2024-03-15,11206503720,304105603,84101368.1
2024-03-16,11206509983,304182349.7,84101311.56
2024-03-17,11206521523,304253924.6,84101394.33
2024-03-18,11206557631,304327385.9,84076010.33
2024-03-19,11206515084,304453686.8,84076384.32
2024-03-20,11205088763,305854247,84185113.44
2024-03-21,11205040612,305983936.4,84186006.43
2024-03-22,11205051990,306009671.3,84231114.19
2024-03-23,11204987292,306156667.7,84230962.35
2024-03-24,11204974515,306252169.1,84230386.82
2024-03-25,11204926002,306357853.8,84255357.33
2024-03-26,11204935782,306430478.8,84255091.12
2024-03-27,11204945203,306503291.6,84254999.31
2024-03-28,11203711505,237815347.3,154259311.5
2024-03-29,11203697958,237889473.2,154280877.8
2024-03-30,11202794824,308899947.9,84256326.32
2024-03-31,11202808488,308969054.9,84256650.54
2024-04-01,11202809963,309049906.9,84257284.26
2024-04-02,11202816084,309126959.4,84256401.91
2024-04-03,11202802384,309222765.8,84256445.11
2024-04-04,11202784293,309341904.3,84237543.12
2024-04-05,11201514147,310705833.8,84226724.44
2024-04-06,11201498274,310780329.6,84251209.47
2024-04-07,11201498327,310863195.2,84251224.71
2024-04-08,11201490539,310963999.6,84241144.14
2024-04-09,11201493404,311043120.3,84241319.63
2024-04-10,11200403004,312215786.5,84241310.01
2024-04-11,11200389977,312306035.6,84246340.72
2024-04-12,11200361936,312390244.2,84272345.28
2024-04-13,11200342765,312491477,84272433.33
2024-04-14,11200381221,312561642.1,84245952.61
