Date,Value
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,6222
2024-02-03,12355
2024-02-04,12580
2024-02-05,24459
2024-02-06,49749
2024-02-07,0
2024-02-08,92249
2024-02-09,96528
2024-02-10,104485
2024-02-11,106843
2024-02-12,114512
2024-02-13,142078
2024-02-14,174734
2024-02-15,191032
2024-02-16,191161
2024-02-17,191328
2024-02-18,191606
2024-02-19,192331
2024-02-20,192604
2024-02-21,192826
2024-02-22,192946
2024-02-23,193146
2024-02-24,193217
2024-02-25,193271
2024-02-26,193362
2024-02-27,193393
2024-02-28,193558
2024-02-29,193593
2024-03-01,193724
2024-03-02,193758
2024-03-03,193778
2024-03-04,193803
2024-03-05,193971
2024-03-06,194077
2024-03-07,194144
2024-03-08,194187
2024-03-09,194257
2024-03-10,194362
2024-03-11,194480
2024-03-12,194590
2024-03-13,194646
2024-03-14,194738
2024-03-15,194769
2024-03-16,194782
2024-03-17,194834
2024-03-18,195331
2024-03-19,195653
2024-03-20,195863
2024-03-21,195970
2024-03-22,196051
2024-03-23,196072
2024-03-24,196088
2024-03-25,196152
2024-03-26,196199
2024-03-27,196271
2024-03-28,196286
2024-03-29,196333
2024-03-30,196364
2024-03-31,196389
2024-04-01,196409
2024-04-02,196448
2024-04-03,196502
2024-04-04,196531
2024-04-05,196593
2024-04-06,196622
2024-04-07,196650
2024-04-08,196708
2024-04-09,196791
2024-04-10,196843
2024-04-11,196913
2024-04-12,196977
2024-04-13,197005
2024-04-14,197039
2024-04-15,197179
2024-04-16,197373
2024-04-17,197460
2024-04-18,197536
2024-04-19,197576
2024-04-20,197621
2024-04-21,197675
2024-04-22,197731
2024-04-23,197811
2024-04-24,197897
2024-04-25,197980
2024-04-26,198050
2024-04-27,198138
2024-04-28,198295
2024-04-29,198396
2024-04-30,198449
2024-05-01,198510
2024-05-02,198618
2024-05-03,198708
2024-05-04,198729
2024-05-05,198761
2024-05-06,198847
2024-05-07,198929
2024-05-08,199054
2024-05-09,199095
2024-05-10,199145
2024-05-11,199167
2024-05-12,199178
2024-05-13,199505
2024-05-14,199560
2024-05-15,199748
2024-05-16,199798
2024-05-17,199846
2024-05-18,199873
2024-05-19,199920
2024-05-20,200098
2024-05-21,200164
2024-05-22,200188
2024-05-23,200567
2024-05-24,201203
2024-05-25,201639
2024-05-26,201652
2024-05-27,201839
2024-05-28,202478
2024-05-29,202624
2024-05-30,203182
2024-05-31,204538
2024-06-01,204928
2024-06-02,205220
2024-06-03,206130
2024-06-04,206409
2024-06-05,206533
2024-06-06,206677
2024-06-07,206783
2024-06-08,206834
2024-06-09,206947
2024-06-10,207052
2024-06-11,207108
2024-06-12,207164
2024-06-13,207185
2024-06-14,207230
2024-06-15,207254
2024-06-16,207327
2024-06-17,207878
2024-06-18,207984
2024-06-19,208054
2024-06-20,208100
2024-06-21,208212
2024-06-22,208237
2024-06-23,208294
2024-06-24,208608
2024-06-25,208737
2024-06-26,208827
2024-06-27,208866
2024-06-28,208886
2024-06-29,208900
2024-06-30,208926
2024-07-01,209023
2024-07-02,209106
2024-07-03,209196
2024-07-04,209371
2024-07-05,209465
2024-07-06,209493
2024-07-07,209511
2024-07-08,209546
2024-07-09,209567
2024-07-10,209628
2024-07-11,209668
2024-07-12,209708
2024-07-13,209731
2024-07-14,209739
2024-07-15,209874
2024-07-16,209961
2024-07-17,209996
2024-07-18,210029
2024-07-19,210252
2024-07-20,210326
2024-07-21,210328
2024-07-22,210543
2024-07-23,210592
2024-07-24,210727
2024-07-25,210786
2024-07-26,211137
2024-07-27,211243
2024-07-28,211367
2024-07-29,211557
2024-07-30,211854
2024-07-31,212378
2024-08-01,212632
2024-08-02,213121
2024-08-03,214388
2024-08-04,216500
2024-08-05,217357
2024-08-06,218241
2024-08-07,219042
2024-08-08,240469
2024-08-09,240469
2024-08-10,240469
2024-08-11,240469
2024-08-12,240469
2024-08-13,240469
2024-08-14,241571
2024-08-15,241997
2024-08-16,242335
2024-08-17,243097
2024-08-18,243577
2024-08-19,244744
2024-08-20,246409
2024-08-21,247632
2024-08-22,247882
2024-08-23,248644
2024-08-24,248821
2024-08-25,249074
2024-08-26,249195
2024-08-27,249333
2024-08-28,249502
2024-08-29,249663
2024-08-30,249795
2024-08-31,249942
2024-09-01,250069
2024-09-02,250305
2024-09-03,250741
2024-09-04,250981
2024-09-05,251129
2024-09-06,251164
2024-09-07,251196
2024-09-08,251217
2024-09-09,251309
2024-09-10,251539
2024-09-11,251650
2024-09-12,251814
2024-09-13,251978
2024-09-14,252022
2024-09-15,252071
2024-09-16,252190
2024-09-17,252401
2024-09-18,252436
2024-09-19,252516
2024-09-20,252537
2024-09-21,252565
2024-09-22,252596
2024-09-23,252707
2024-09-24,252737
2024-09-25,252835
2024-09-26,252935
2024-09-27,253019
2024-09-28,253037
2024-09-29,253055
2024-09-30,253117
2024-10-01,253155
