Date,TZERO
2022-05-11,5211
2022-05-12,6636
2022-05-13,316520.2
2022-05-14,67783.3
2022-05-15,6000
2022-05-16,5857
2022-05-17,6609
2022-05-18,7650
2022-05-19,710998.898
2022-05-20,234628
2022-05-21,3450
2022-05-22,27934
2022-05-23,108759
2022-05-24,3900
2022-05-25,10010
2022-05-26,3900
2022-05-27,4346.844740799269
2022-05-28,3683.062658443602
2022-05-29,2355.391233208832
2022-05-30,2048.227709953578
2022-05-31,2700.17
2022-06-01,3449.09
2022-06-02,4500
2022-06-03,3159.999362572712
2022-06-04,8302
2022-06-05,4283
2022-06-06,3750.06
2022-06-07,4729.9996
2022-06-08,3900
2022-06-09,2850
2022-06-10,1102395.00000000008
2022-06-11,4200.00000000048
2022-06-12,1800.00000000048
2022-06-13,2395.000000000484
2022-06-14,2419.996900000484
2022-06-15,6399.998101149634
2022-06-16,2258.00000000048
2022-06-17,6197.99300000048
2022-06-18,1225.00000000048
2022-06-19,750.00000000048
2022-06-20,2100.00000000048
2022-06-21,1765.000000000484
2022-06-22,54241.861280128026
2022-06-23,55956.722603892094
2022-06-24,49159.50325657177
2022-06-25,9303.242
2022-06-26,23347.1157
2022-06-27,78462.553508600108
2022-06-28,81544.509408518179
2022-06-29,29018.223465444517
2022-06-30,142006.420420454353
2022-07-01,1599342.935584005509
2022-07-02,1910468.397516335689
2022-07-03,2411734.467829130683
2022-07-04,2889937.02312157265
2022-07-05,1924584.549060286498
2022-07-06,1829849.362683327928
2022-07-07,474183.856532247254
2022-07-08,777492.139136785594
2022-07-09,526661.379453953183
2022-07-10,576396.436182859881
2022-07-11,264963.84856540074
2022-07-12,237130.611879403561
2022-07-13,192094.198711296548
2022-07-14,101481.674808095774
2022-07-15,330875.13320802315
2022-07-16,343764.976894476589
2022-07-17,194402.82010110517
2022-07-18,416676.255094185566
2022-07-19,92255.398789946074
2022-07-20,88118.673860047697
2022-07-21,400855.957732859155
2022-07-22,86912.531959038272
2022-07-23,53283.099844235252
2022-07-24,95624.763699430531
2022-07-25,138512.454637562069
2022-07-26,911056.26281050039
2022-07-27,3354006.040893485989
2022-07-28,294095.553794271347
2022-07-29,332789.957473288657
2022-07-30,127596.947278514255
2022-07-31,228150.153277302846
2022-08-01,105082.46147858724
2022-08-02,122177.461515326555
2022-08-03,886130.601410149533
2022-08-04,1449984.582596197161
2022-08-05,1192603.457061959832
2022-08-06,2978770.715817739291
2022-08-07,5127032.321970363575
2022-08-08,2943496.557263202712
2022-08-09,1516221.491520381788
2022-08-10,2213520.500575349711
2022-08-11,1878265.872081391489
2022-08-12,1390489.2558349125
2022-08-13,2848401.855064635684
2022-08-14,20476914.169976531092
2022-08-15,10962043.95277956184
2022-08-16,11832041.403954492757
2022-08-17,11451852.811803142323
2022-08-18,6640591.452638465362
2022-08-19,2662647.317247445358
2022-08-20,3022475.993576077841
2022-08-21,2881843.795318133589
2022-08-22,1695782.428838602585
2022-08-23,2878006.424455855751
2022-08-24,3145912.214814023033
2022-08-25,2161950.711801072965
2022-08-26,3455447.76444036215
2022-08-27,1632471.320101506537
2022-08-28,2398940.04228285698
2022-08-29,2327803.687626371954
2022-08-30,1467503.275119199831
2022-08-31,2500883.891798186452
2022-09-01,1377253.457222518902
2022-09-02,1997875.113394407647
2022-09-03,3727744.524425994288
2022-09-04,29632983.764250062641
2022-09-05,67367723.45039379447
2022-09-06,32275827.757699140202
2022-09-07,46438008.071430931327
2022-09-08,41963778.034089922895
2022-09-09,33645604.98393862056
2022-09-10,14815273.310552921658
2022-09-11,11134025.173337558647
2022-09-12,24111843.114896339165
2022-09-13,30964950.410007133822
2022-09-14,35546290.901515683083
2022-09-15,27759957.69070050139
2022-09-16,60067333.049998547515
2022-09-17,52065027.194539445029
2022-09-18,28835866.438630734209
2022-09-19,23284089.385009032629
2022-09-20,8382056.941209740824
2022-09-21,51491339.71027156007
2022-09-22,40219368.104532588983
2022-09-23,22326932.192601396597
2022-09-24,5042989.565828854638
2022-09-25,6965054.360920417526
2022-09-26,13683722.116947861081
2022-09-27,46692566.572224203031
2022-09-28,25813378.664627893503
2022-09-29,2204903.500921811782
2022-09-30,1458210.148507575392
2022-10-01,6951850.296273421965
2022-10-02,12399557.388982069557
2022-10-03,3555177.385745222079
2022-10-04,6958078.008177024698
2022-10-05,5886352.753218969666
2022-10-06,5234711.402722668882
2022-10-07,6083915.772547700722
2022-10-08,3651315.380418418739
2022-10-09,2029853.270154541721
2022-10-10,2388431.58790459642
2022-10-11,4104554.84918183827
2022-10-12,3641283.216552947277
2022-10-13,1832101.146255209184
2022-10-14,2054388.354447671857
2022-10-15,1984059.402724047946
2022-10-16,1869613.932217559909
2022-10-17,4455851.323836890088
2022-10-18,4228692.197735875686
2022-10-19,2934278.125862631435
2022-10-20,4629466.99874301406
2022-10-21,2685842.827635121235
2022-10-22,5003501.997381615159
2022-10-23,4239829.187114452748
2022-10-24,5493661.229567382013
2022-10-25,3498254.599472798558
2022-10-26,3594952.057044484434
2022-10-27,3412894.600684628371
2022-10-28,3000809.830053847941
2022-10-29,2568107.888792433306
2022-10-30,7563701.194550877143
2022-10-31,4768878.774423697852
2022-11-01,6488058.030591803579
2022-11-02,6663275.229722744493
2022-11-03,3104288.332227149586
2022-11-04,3077252.903562976639
2022-11-05,10121437.545540300838
2022-11-06,5190967.250566543189
2022-11-07,5015141.99885139298
2022-11-08,5660160.728035889691
2022-11-09,24444556.027480937224
2022-11-10,5199164.711469234241
2022-11-11,5169660.79547739606
2022-11-12,6098400.526339266224
2022-11-13,8168054.084094537481
2022-11-14,4906615.411152112677
2022-11-15,9728404.636899310681
2022-11-16,9204534.264763099759
2022-11-17,5550421.425055783473
2022-11-18,6396056.242117229558
2022-11-19,3579889.600552869686
2022-11-20,5718808.31386999007
2022-11-21,9914795.936667217994
2022-11-22,16427288.028033009301
2022-11-23,14159659.183277011085
2022-11-24,11768338.997603031991
2022-11-25,8200088.55342732506
2022-11-26,3056511.461187053031
2022-11-27,9715368.598237512199
2022-11-28,3785111.979911065461
2022-11-29,7056720.683778272305
2022-11-30,5693757.246677489324
2022-12-01,4443205.671480794202
2022-12-02,12054478.558747025764
2022-12-03,3926857.392453913229
2022-12-04,2291867.3625351313
2022-12-05,5901151.541573432248
2022-12-06,3256395.17270107588
2022-12-07,18952887.580614561771
2022-12-08,6280840.769457654421
2022-12-09,2354700.173945120563
2022-12-10,13055395.169481197891
2022-12-11,31269436.811531349209
2022-12-12,18896363.136265647199
2022-12-13,77374474.892870737473
2022-12-14,61355897.386337766357
2022-12-15,47752908.075517859826
2022-12-16,27975466.440382568712
2022-12-17,33684045.624566081454
2022-12-18,22647970.370930342161
2022-12-19,35834536.745752658421
2022-12-20,14584729.771913207319
2022-12-21,8203477.422431816795
2022-12-22,8326896.815663255702
2022-12-23,9204589.412957705432
2022-12-24,29540402.368136095209
2022-12-25,8900640.634485989102
2022-12-26,3522604.200240671242
2022-12-27,5009659.029380631444
2022-12-28,4764063.304221872964
2022-12-29,8151376.759859943473
2022-12-30,4251670.199490055051
2022-12-31,4901006.133608605275
2023-01-01,3288384.170886166604
2023-01-02,49163098.774198813216
2023-01-03,16313267.01401948785
2023-01-04,16094600.83559301831
2023-01-05,12498250.653134542587
2023-01-06,5648909.583673969264
2023-01-07,7031678.866213445091
2023-01-08,17572028.206520855749
2023-01-09,8741433.928220668117
2023-01-10,10579633.592826438926
2023-01-11,6115639.782944960452
2023-01-12,7105299.028955370014
2023-01-13,2635430.423319425232
2023-01-14,2738508.324247192884
2023-01-15,10608079.951291334422
2023-01-16,2639252.664212047307
2023-01-17,6652560.849934602444
2023-01-18,1779408.763253481356
2023-01-19,2355344.799
2023-01-20,936628.061205037483
2023-01-21,1387099.177809070001
2023-01-22,10933594.294902801281
2023-01-23,5761288.264755766593
2023-01-24,2731387.911488477424
2023-01-25,2393529.596438956487
2023-01-26,2634324.765479974605
2023-01-27,3858586.29674225698
2023-01-28,1452050.460627794313
2023-01-29,1657223.966419349044
2023-01-30,2726639.274982125261
2023-01-31,1169592.852839854882
