Date,Value
2023-02-02,45787
2023-02-03,45868
2023-02-04,45934
2023-02-05,46012
2023-02-06,46088
2023-02-07,46114
2023-02-08,46040
2023-02-09,46087
2023-02-10,46179
2023-02-11,46223
2023-02-12,46292
2023-02-13,46330
2023-02-14,46348
2023-02-15,46410
2023-02-16,46478
2023-02-17,46534
2023-02-18,46587
2023-02-19,46634
2023-02-20,46683
2023-02-21,46733
2023-02-22,46769
2023-02-23,46807
2023-02-24,46851
2023-02-25,46891
2023-02-26,46924
2023-02-27,46982
2023-02-28,47043
2023-03-01,47133
2023-03-02,47179
2023-03-03,47216
2023-03-04,47254
2023-03-05,47308
2023-03-06,47346
2023-03-07,47402
2023-03-08,47437
2023-03-09,47533
2023-03-10,47750
2023-03-11,47829
2023-03-12,47899
2023-03-13,47939
2023-03-14,47974
2023-03-15,48029
2023-03-16,48069
2023-03-17,48113
2023-03-18,48155
2023-03-19,48184
2023-03-20,48218
2023-03-21,48260
2023-03-22,48309
2023-03-23,48352
2023-03-24,48388
2023-03-25,48415
2023-03-26,48484
2023-03-27,48540
2023-03-28,48602
2023-03-29,48920
2023-03-30,49589
2023-03-31,49830
2023-04-01,50026
2023-04-02,50207
2023-04-03,50438
2023-04-04,50616
2023-04-05,50745
2023-04-06,50852
2023-04-07,51965
2023-04-08,56039
2023-04-09,56604
2023-04-10,56613
2023-04-11,56642
2023-04-12,56690
2023-04-13,56738
2023-04-14,56821
2023-04-15,56871
2023-04-16,56909
2023-04-17,56961
2023-04-18,57039
2023-04-19,57085
2023-04-20,57127
2023-04-21,57161
2023-04-22,57191
2023-04-23,57228
2023-04-24,57252
2023-04-25,57281
2023-04-26,57325
2023-04-27,57355
2023-04-28,57389
2023-04-29,57423
2023-04-30,57451
2023-05-01,57498
2023-05-02,57534
2023-05-03,57577
2023-05-04,57609
2023-05-05,57643
2023-05-06,57674
2023-05-07,57705
2023-05-08,57755
2023-05-09,57809
2023-05-10,57859
2023-05-11,57920
2023-05-12,57965
2023-05-13,57991
2023-05-14,58013
2023-05-15,58049
2023-05-16,58123
2023-05-17,58176
2023-05-18,58240
2023-05-19,58262
2023-05-20,58308
2023-05-21,58352
2023-05-22,58427
2023-05-23,58503
2023-05-24,58540
2023-05-25,58579
2023-05-26,58645
2023-05-27,58675
2023-05-28,58720
2023-05-29,58771
2023-05-30,58818
2023-05-31,58893
2023-06-01,59107
2023-06-02,59271
2023-06-03,59446
2023-06-04,59597
2023-06-05,59710
2023-06-06,59772
2023-06-07,59812
2023-06-08,59875
2023-06-09,59951
2023-06-10,60035
2023-06-11,60088
2023-06-12,60154
2023-06-13,60211
2023-06-14,60233
2023-06-15,60281
2023-06-16,60327
2023-06-17,60373
2023-06-18,60415
2023-06-19,60485
2023-06-20,60552
2023-06-21,60621
2023-06-22,60668
2023-06-23,60722
2023-06-24,60767
2023-06-25,60810
2023-06-26,60873
2023-06-27,60926
2023-06-28,60983
2023-06-29,61083
2023-06-30,61155
2023-07-01,61219
2023-07-02,61278
2023-07-03,61361
2023-07-04,61465
2023-07-05,61543
2023-07-06,61605
2023-07-07,61670
2023-07-08,61704
2023-07-09,61806
2023-07-10,61881
2023-07-11,61946
2023-07-12,61992
2023-07-13,62069
2023-07-14,62172
2023-07-15,62246
2023-07-16,62314
2023-07-17,62381
2023-07-18,62429
2023-07-19,62465
2023-07-20,62515
2023-07-21,62569
2023-07-22,63070
2023-07-23,63189
2023-07-24,63345
2023-07-25,63462
2023-07-26,63557
2023-07-27,63664
2023-07-28,63731
2023-07-29,63789
2023-07-30,63853
2023-07-31,63914
2023-08-01,63964
2023-08-02,64016
2023-08-03,64079
2023-08-04,64126
2023-08-05,64164
2023-08-06,64235
2023-08-07,64282
2023-08-08,64415
2023-08-09,64483
2023-08-10,64605
2023-08-11,64646
2023-08-12,64683
2023-08-13,64971
2023-08-14,65696
2023-08-15,65880
2023-08-16,65962
2023-08-17,66032
2023-08-18,66098
2023-08-19,66150
2023-08-20,66190
2023-08-21,66243
2023-08-22,66347
2023-08-23,66414
2023-08-24,66450
2023-08-25,66550
2023-08-26,66595
2023-08-27,66639
2023-08-28,66674
2023-08-29,66736
2023-08-30,66795
2023-08-31,66838
2023-09-01,66903
2023-09-02,66958
2023-09-03,66998
2023-09-04,67045
2023-09-05,67091
2023-09-06,67143
2023-09-07,67193
2023-09-08,67221
2023-09-09,67249
2023-09-10,67268
2023-09-11,67307
2023-09-12,67345
2023-09-13,67377
2023-09-14,67415
2023-09-15,67446
2023-09-16,67466
2023-09-17,67497
2023-09-18,67557
2023-09-19,67618
2023-09-20,67683
2023-09-21,67714
2023-09-22,67758
2023-09-23,67790
2023-09-24,67821
2023-09-25,67868
2023-09-26,67894
2023-09-27,67933
2023-09-28,67977
2023-09-29,68010
2023-09-30,68045
2023-10-01,68080
2023-10-02,68124
2023-10-03,68162
2023-10-04,68214
2023-10-05,68250
2023-10-06,68303
2023-10-07,68340
2023-10-08,68393
2023-10-09,68412
2023-10-10,68450
2023-10-11,68484
2023-10-12,68523
2023-10-13,68551
2023-10-14,68590
2023-10-15,68613
2023-10-16,68664
2023-10-17,68703
2023-10-18,68760
2023-10-19,68802
2023-10-20,68855
2023-10-21,68899
2023-10-22,68945
2023-10-23,68991
2023-10-24,69064
2023-10-25,69141
2023-10-26,69205
2023-10-27,69253
2023-10-28,69289
2023-10-29,69294
2023-10-30,69323
2023-10-31,69375
2023-11-01,69437
2023-11-02,69517
2023-11-03,69589
2023-11-04,69643
2023-11-05,69735
2023-11-06,69828
2023-11-07,69904
2023-11-08,69986
2023-11-09,70086
2023-11-10,70165
2023-11-11,70255
2023-11-12,70348
2023-11-13,70456
2023-11-14,70578
2023-11-15,70682
2023-11-16,70812
2023-11-17,70893
2023-11-18,70985
2023-11-19,71065
2023-11-20,71217
2023-11-21,71333
2023-11-22,71683
2023-11-23,72885
2023-11-24,73081
2023-11-25,74937
2023-11-26,77613
2023-11-27,80176
2023-11-28,82454
2023-11-29,84706
2023-11-30,86732
2023-12-01,88075
2023-12-02,90326
2023-12-03,92616
2023-12-04,94888
2023-12-05,96945
2023-12-06,99154
2023-12-07,100831
2023-12-08,103565
2023-12-09,104760
2023-12-10,108118
2023-12-11,110203
2023-12-12,112583
2023-12-13,114645
2023-12-14,117235
2023-12-15,117825
2023-12-16,120218
2023-12-17,122696
2023-12-18,123967
2023-12-19,126511
2023-12-20,129383
2023-12-21,131398
2023-12-22,134897
2023-12-23,137017
2023-12-24,139549
2023-12-25,141343
2023-12-26,144445
2023-12-27,147041
2023-12-28,149039
2023-12-29,151352
2023-12-30,155182
2023-12-31,157898
2024-01-01,159776
2024-01-02,162100
2024-01-03,164750
2024-01-04,167673
2024-01-05,170182
2024-01-06,173316
2024-01-07,175754
2024-01-08,178128
2024-01-09,180182
2024-01-10,182571
2024-01-11,186418
2024-01-12,188605
2024-01-13,190089
2024-01-14,190757
2024-01-15,191392
2024-01-16,192040
2024-01-17,192878
2024-01-18,193493
2024-01-19,193606
2024-01-20,194256
2024-01-21,194550
2024-01-22,195168
2024-01-23,195618
2024-01-24,195893
2024-01-25,195583
2024-01-26,196966
2024-01-27,197393
2024-01-28,197878
2024-01-29,198660
2024-01-30,199089
2024-01-31,199629
2024-02-01,200340
2024-02-02,200851
2024-02-03,201370
2024-02-04,201875
2024-02-05,202384
2024-02-06,202400
2024-02-07,202400
2024-02-08,203583
