Date,Circulating,Staking,Others
2022-01-20,160233639.8,0,139766218
2022-01-21,160234709.7,0,139765148.1
2022-01-22,160235349.9,0,139764506.9
2022-01-23,160244411.2,0,139755445.6
2022-01-24,160246757.3,0,139753099.5
2022-01-25,159885285,0,140114571.8
2022-01-26,159955766.6,0,140044088.8
2022-01-27,160510293.6,0,139489458.4
2022-01-28,160748607.6,0,139251117.8
2022-01-29,160784115.3,0,139215609.9
2022-01-30,160978291.9,0,139021430
2022-01-31,161372729.2,0,138626990.7
2022-02-01,161438988.9,0,138560730.9
2022-02-02,161450333.3,0,138549386.5
2022-02-03,161476571.2,0,138523148.5
2022-02-04,161477244.1,0,138522474.6
2022-02-05,161479880.1,0,138519838.5
2022-02-06,161532152.7,0,138467565.8
2022-02-07,161473635.7,0,138526082.8
2022-02-08,161478114.4,0,138521603.6
2022-02-09,161499191.2,0,138500526.8
2022-02-10,161521486.3,0,138478231.5
2022-02-11,161741467.3,0,138258250.5
2022-02-12,161746059.4,0,138253658.4
2022-02-13,161881587.2,0,138118130.5
2022-02-14,161882609.9,0,138117107.8
2022-02-15,162347286.7,0,137652430.9
2022-02-16,162354907.4,0,137644810.3
2022-02-17,162357512.2,0,137642205.4
2022-02-18,162358992.1,0,137640723.5
2022-02-19,162365241.2,0,137634474.3
2022-02-20,162400263,0,137599452.5
2022-02-21,162406150.5,0,137593564.9
2022-02-22,162764084.8,0,137235630.7
2022-02-23,162771306.1,0,137228404.3
2022-02-24,162778247.3,0,137221463.1
2022-02-25,162883091.1,0,137116618.3
2022-02-26,162889450.1,0,137110259.3
2022-02-27,162891505.4,0,137108203.9
2022-02-28,162903407.2,0,137096301.5
2022-03-01,163283136.3,0,136716572.3
2022-03-02,163285249.5,0,136714457.1
2022-03-03,163312719.3,0,136686986.4
2022-03-04,163318980.1,0,136680725.5
2022-03-05,163327261.9,0,136672443.6
2022-03-06,163347106.9,0,136652598.7
2022-03-07,163455017.2,0,136544688.4
2022-03-08,163460676.7,0,136539028.8
2022-03-09,163529267.8,0,136470437.7
2022-03-10,163534630.6,0,136465074.9
2022-03-11,163597567,0,136402138.4
2022-03-12,163600837.8,0,136398867.6
2022-03-13,164199776.8,0,135799928.7
2022-03-14,164770533.8,0,135229171.6
2022-03-15,164867980.5,0,135131724.9
2022-03-16,164998411.6,0,135001293.8
2022-03-17,165019470.3,0,134980235.1
2022-03-18,165721404.3,0,134278301
2022-03-19,165759890.7,0,134239814.4
2022-03-20,165768685.4,0,134231019.8
2022-03-21,165770334,0,134229371.1
2022-03-22,165802203.3,0,134197501.8
2022-03-23,165892617.1,0,134107088
2022-03-24,165894672.5,0,134105032.5
2022-03-25,165291699.3,0,134708005.7
2022-03-26,165296595.4,0,134703109.6
2022-03-27,165300888.4,0,134698815.5
2022-03-28,165408994.8,0,134590709.1
2022-03-29,165641454,0,134358249.8
2022-03-30,165764014.1,0,134235689.7
2022-03-31,165799783.9,0,134199919.8
2022-04-01,165924598.4,0,134075105.1
2022-04-02,166137653.2,0,133862050.2
2022-04-03,166219878.8,0,133779823.5
2022-04-04,166421734.5,0,133577967.8
2022-04-05,166432667.3,0,133567034.9
2022-04-06,166447701.5,0,133552000.7
2022-04-07,166450814.4,0,133548887.7
2022-04-08,166593244.3,0,133406457.8
2022-04-09,166594609,0,133405093.1
2022-04-10,166605614.1,0,133394087.9
2022-04-11,166924223.5,0,133075478.5
2022-04-12,167005383.4,0,132993517.5
2022-04-13,167045454.3,0,132953446.6
2022-04-14,167101179.4,0,132897721.4
2022-04-15,167248187.4,0,132750713.4
2022-04-16,167253962.4,0,132744938.3
2022-04-17,167576337.2,0,132422563.4
2022-04-18,167578126,0,132420774.6
2022-04-19,167705673.9,0,132293226.7
2022-04-20,167712688.5,0,132286212
2022-04-21,167719218.1,0,132279682.3
2022-04-22,167695276.8,0,132303623.6
2022-04-23,167843904.6,0,132154995.7
2022-04-24,167852496.5,0,132146403.8
2022-04-25,167957903.4,0,132040996.9
2022-04-26,167970706.5,0,132028193.7
2022-04-27,168449791.8,0,131549108.3
2022-04-28,139204122.6,47094886.97,113708104.1
2022-04-29,105246304.9,163426729.2,31342293.06
2022-04-30,99108471.97,171777627.9,29285284.73
2022-05-01,96106825.82,175277459,28869235.26
2022-05-02,94175475.84,177325912,28834267.72
2022-05-03,92380714.45,179295381.3,28741695.36
2022-05-04,90073787.47,181850551.4,28575587.71
2022-05-05,88885670.09,183223756.2,28472635.74
2022-05-06,85911824.54,186332841,28419531.94
2022-05-07,85342214.69,187249495.3,28154623.01
2022-05-08,85072264.3,187366161.7,28390042.47
2022-05-09,83286528.86,189128328,28495747.12
2022-05-10,82946556.85,190401414.5,27644767.73
2022-05-11,82416690.83,190938691,27719492.75
2022-05-12,81512235.1,191661123.4,27983651.59
2022-05-13,80336488.11,192417267.7,28485389.73
2022-05-14,80217597.84,192599144.6,28504538.65
2022-05-15,79991509.15,192700599.7,28711307.64
2022-05-16,79735194.08,192957899.8,28792458.17
2022-05-17,79327681.85,193114387.6,29125617.99
2022-05-18,79055023.58,193513345.6,29081453.73
2022-05-19,78891791.94,193814263.1,29025903.35
2022-05-20,78723013.16,194028743.3,29062337.33
2022-05-21,78142106.82,194493596,29260526.29
2022-05-22,78218565.81,195092530.2,28667268.58
2022-05-23,77968564.26,195551562.6,28540373.1
2022-05-24,77945679.5,195648866,28548089.86
2022-05-25,75914217.29,197752089.9,28558463.34
2022-05-26,75694227.02,198157289.5,28455389.29
2022-05-27,75270926.93,198654109.7,28456611.26
2022-05-28,75036158.68,199108344.5,28326672.87
2022-05-29,74560959.99,199434181.7,28543384.28
2022-05-30,74324486.82,199630713.9,28680245.63
2022-05-31,74404039.37,199960901.2,28352640.78
2022-06-01,74185017.42,200211309.4,28403389.59
2022-06-02,73915620.49,200569328.6,28382127.34
2022-06-03,73872142.76,200725113,28366730.86
2022-06-04,73385411.12,201329891.9,28330818.63
2022-06-05,73316175.41,201492201.3,28305097.14
2022-06-06,73197403.29,201889935.9,28123052.07
2022-06-07,72894930.88,202708613.4,27688981.66
2022-06-08,73195385.7,203663313,26508572.37
2022-06-09,73034145.43,203572168.3,26835696.57
2022-06-10,72981514.73,203568836.3,26973794.84
2022-06-11,73220296.93,203696187.2,26704581.11
2022-06-12,73059103.42,203938835.3,26690476.21
2022-06-13,73201585.83,204071581.1,26504774.21
2022-06-14,72904353.37,204285928.1,26662404.64
2022-06-15,72436411.12,204723987.1,26759645.31
2022-06-16,72454468.95,205687496.3,25889774.57
2022-06-17,71792541.46,206436584.4,25862570.76
2022-06-18,71579044.43,206344015.8,26258164.86
2022-06-19,71401241.03,206575037.3,26264910.5
2022-06-20,71107209.56,206803649.9,26434638.26
2022-06-21,70975508.03,207024434.4,26442473.29
2022-06-22,70861661.69,207314079,26348810.07
2022-06-23,70777718.53,207505857.6,26323110.02
