Date,Value
2024-01-16,198768
2024-01-17,199615
2024-01-18,200239
2024-01-19,200370
2024-01-20,201025
2024-01-21,201326
2024-01-22,201955
2024-01-23,202421
2024-01-24,202746
2024-01-25,203864
2024-01-26,204878
2024-01-27,205314
2024-01-28,205815
2024-01-29,206620
2024-01-30,207056
2024-01-31,207613
2024-02-01,208331
2024-02-02,208852
2024-02-03,209376
2024-02-04,209887
2024-02-05,210404
2024-02-06,210421
2024-02-07,210421
2024-02-08,211644
2024-02-09,211961
2024-02-10,212069
2024-02-11,212625
2024-02-12,213124
2024-02-13,213237
2024-02-14,213527
2024-02-15,213661
2024-02-16,214011
2024-02-17,214318
2024-02-18,214588
2024-02-19,214865
2024-02-20,214993
2024-02-21,215300
2024-02-22,215589
2024-02-23,215720
2024-02-24,216011
2024-02-25,216324
2024-02-26,216637
2024-02-27,216969
2024-02-28,217399
2024-02-29,217742
2024-03-01,218108
2024-03-02,218440
2024-03-03,218534
2024-03-04,218877
2024-03-05,219245
2024-03-06,219558
2024-03-07,219718
2024-03-08,220066
2024-03-09,220423
2024-03-10,220753
2024-03-11,220880
2024-03-12,220996
2024-03-13,221105
2024-03-14,221204
2024-03-15,221309
2024-03-16,221409
2024-03-17,221527
2024-03-18,221640
2024-03-19,221749
2024-03-20,221853
2024-03-21,221980
2024-03-22,222103
2024-03-23,222186
2024-03-24,222273
2024-03-25,222445
2024-03-26,222966
2024-03-27,223520
2024-03-28,223743
2024-03-29,223853
2024-03-30,223986
2024-03-31,224129
2024-04-01,224247
2024-04-02,224345
2024-04-03,224454
2024-04-04,224570
2024-04-05,224655
2024-04-06,224730
2024-04-07,224808
2024-04-08,225837
2024-04-09,225995
2024-04-10,226117
2024-04-11,226212
2024-04-12,226330
2024-04-13,226425
2024-04-14,226510
2024-04-15,226665
2024-04-16,226736
2024-04-17,226835
2024-04-18,226900
2024-04-19,226972
2024-04-20,227042
2024-04-21,227113
2024-04-22,227186
2024-04-23,227264
2024-04-24,227311
2024-04-25,227366
2024-04-26,227429
2024-04-27,227485
2024-04-28,227536
2024-04-29,227614
2024-04-30,227671
2024-05-01,227763
2024-05-02,227823
2024-05-03,227901
2024-05-04,227948
2024-05-05,228005
2024-05-06,228080
2024-05-07,228162
2024-05-08,228229
2024-05-09,228275
2024-05-10,228322
2024-05-11,228381
2024-05-12,228444
2024-05-13,228492
2024-05-14,228559
2024-05-15,228611
2024-05-16,228680
2024-05-17,228762
2024-05-18,228833
2024-05-19,228889
2024-05-20,229002
2024-05-21,229139
2024-05-22,229254
2024-05-23,229414
2024-05-24,229539
2024-05-25,229627
2024-05-26,229724
2024-05-27,229825
2024-05-28,229915
2024-05-29,230027
2024-05-30,230136
2024-05-31,230238
2024-06-01,230308
2024-06-02,230370
2024-06-03,230470
2024-06-04,230527
2024-06-05,230594
2024-06-06,230677
2024-06-07,230734
2024-06-08,230794
2024-06-09,230851
2024-06-10,230960
2024-06-11,231031
2024-06-12,231090
2024-06-13,231246
2024-06-14,231450
2024-06-15,231538
2024-06-16,231562
2024-06-17,231666
2024-06-18,231904
2024-06-19,232111
2024-06-20,232184
2024-06-21,232236
2024-06-22,232296
2024-06-23,232341
2024-06-24,232439
2024-06-25,232538
2024-06-26,232618
2024-06-27,232677
2024-06-28,232725
2024-06-29,232778
2024-06-30,232860
2024-07-01,232913
2024-07-02,232963
2024-07-03,233025
2024-07-04,233128
2024-07-05,233217
2024-07-06,233247
2024-07-07,233273
2024-07-08,233357
2024-07-09,233402
2024-07-10,233442
2024-07-11,233509
2024-07-12,233541
2024-07-13,233568
2024-07-14,233603
2024-07-15,233649
2024-07-16,233704
2024-07-17,233743
2024-07-18,233796
2024-07-19,233855
2024-07-20,233892
2024-07-21,233963
2024-07-22,234043
2024-07-23,234098
2024-07-24,234162
2024-07-25,234212
2024-07-26,234253
2024-07-27,234300
2024-07-28,234339
2024-07-29,234389
2024-07-30,234456
2024-07-31,234565
2024-08-01,234648
2024-08-02,234721
2024-08-03,234793
2024-08-04,234845
2024-08-05,235057
2024-08-06,235125
2024-08-07,235188
2024-08-08,235246
2024-08-09,235424
2024-08-10,235603
2024-08-11,235772
2024-08-12,236135
2024-08-13,236187
2024-08-14,236294
2024-08-15,236359
2024-08-16,236462
2024-08-17,236540
2024-08-18,236575
2024-08-19,236609
2024-08-20,236674
2024-08-21,236729
2024-08-22,236776
2024-08-23,236829
2024-08-24,236920
2024-08-25,236958
2024-08-26,237037
2024-08-27,237091
2024-08-28,237144
2024-08-29,237204
2024-08-30,237258
2024-08-31,237285
2024-09-01,237331
2024-09-02,237366
2024-09-03,237418
2024-09-04,237513
2024-09-05,238001
2024-09-06,238393
2024-09-07,238648
2024-09-08,238908
2024-09-09,238965
2024-09-10,239088
2024-09-11,239433
2024-09-12,239817
2024-09-13,239922
2024-09-14,239972
2024-09-15,240033
2024-09-16,240107
2024-09-17,240240
2024-09-18,240364
2024-09-19,240424
2024-09-20,240462
2024-09-21,240515
2024-09-22,240555
2024-09-23,240635
2024-09-24,240677
2024-09-25,240802
2024-09-26,240902
2024-09-27,240987
2024-09-28,241070
2024-09-29,241134
2024-09-30,241194
2024-10-01,241293
