Pool ID,Name,Total Bonded (AZERO),Reward Pool (AZERO),Nominated,Members,Status
1,GATOTECH😸 Top tech decentralisation 🌐gatotech.uk/pools,561868.82,16296.363,1,520,Open
2,AZF/Banach pool,152579.725,6716.822,1,197,Open
3,AZF/Turing pool,167178.296,5489.215,1,216,Open
4,AZF/Erdos pool,33468.079,1428.805,1,43,Open
5,AZF/Goedel pool,17881.414,1257.845,1,29,Open
6,AZF/Lovelace pool,83233.757,2420.479,1,103,Open
7,AZF/Church pool,5759.89,560.398,1,23,Open
8,AZF/vonNeumann pool,8730.424,519.068,1,17,Open
9,AZF/Gauss pool,4763.269,521.146,1,15,Open
10,AZF/Kuratowski pool,5241.706,459.181,1,16,Open
11,AZF/Feynman pool,16883.893,1326.764,1,23,Open
12,Sekoya Labs 🚨 High Reward 🚨 Nomination Pool,137135.67,1896.528,1,101,Open
13,🚀 Low Fees 🚀 BEST Returns,0,0,0,1,Destroyed
14,Azero to the Moon 🚀,0,0,0,1,Destroyed
15,"Stake Here | Low Fee, High Performance, Best Returns",0,0,0,1,Destroyed
16,MARMOSET CLUB - POOL,0,4.1e-10,0,1,Destroying
17,StakeSafe Pool,36879.025,1300.963,1,46,Open
18,💎 DIAMOND ATLAS | diamondatlas.io 💎,244704.246,7054.316,1,294,Open
19,VietStaking pool #01,0,0,0,1,Destroyed
20,ARTZERO POOL,510493.749,4719.275,1,215,Open
21,🟡 BLACKBOT www.MACRONODE.eu,55579.654,1748.658,1,61,Open
22,Stakingbridge | 🪐 Saturn Pool,41202.844,1134.54,1,34,Open
23,2SISTERS Pool 👧👩 twosisters.io,47563.708,1330.44,1,69,Open
24,AnubisStaking.com,48489.961,591.423,1,19,Open
25,Nobu Nodes/Pool,3064.59,211.111,1,5,Open
26,Indonesia First Pool,2612.809,310.371,0,12,Open
27,ZapFi Pool ⚡ Lowest Commission ⚡,69032.711,1501.648,1,82,Open
28,Brightlystake.com's pool,7204.915,714.444,1,8,Open
29,GURU | Pool party 🏖️,13113.823,102.401,1,8,Open
30,Piconbello Staking Pool,16874.289,700.025,1,22,Open
31,Ubik Capital Pool,244992.493,39959.868,1,26,Open
32,P-OPS Team Pool,14193.167,1183.197,1,23,Open
33,🐟Tuna Pool🐟 -> top reliability & lowest fees,4473.347,143.005,1,4,Open
34,POOL-ROCKET 🚀,5230.603,103.307,1,6,Open
35,ZTARZ UNSINGULARITY,2529.978,11.18,1,3,Open
36,Mile Pool Reliable validators,6657.816,182.461,1,2,Open
37,High Availability Pool,2020,0,0,3,Open
38,GoAzero pool,15310.95,437.175,1,17,Open
39,ALEPHKRATOS®️🌐 | Staking Pool ✔,18190.096,173.135,1,12,Open
40,Alex Dupre Pool,0,9e-12,0,1,Destroying
41,CANTOR pool,56787.193,1383.938,1,61,Open
42,BugsBunny,0,0,0,1,Destroyed
43,🧲 MagnetDAO.io | OG AZERO Fam🤍,2000,0,0,1,Open
44,FreeiaTech | 🇵🇱 home of A0!,0,0,0,1,Destroyed
45,🛸 ZPool 🛸 Monthly Giveaway,0,0,0,1,Destroyed
46,ZNodeTeam💚LowFees High Reward🚀,0,0,0,1,Destroyed
47,🪬 Talisman Pool 1 | Auto-Compound > $2USD 🪬,463968.4,3424.059,1,342,Open
48,SWISS POOL 🇨🇭 [Lowest fees],91841.668,465.755,1,34,Open
49,🌀  Hermes Stakepool Germany 🌀,0,0,0,1,Destroyed
50,CANADAZERO,30942.293,248.426,1,13,Open
