address,balance,lock,balance_lock,is_EVM_contract,display_address,evm_account,registrar_info,count_extrinsic,nft_amount,extra
00493dfad498a2a896561982154357b1dcb7ed088e6c996b16537f3b52b95f5e,35527752259921055,34352443276756020,34352443276756020,False,5C55cbohHPsDc3gdaus9GATQaEu94cKsj9do5UQjkDkym2Kd,,,16,0,
787075c87ba45eb453cd4ee4958a4422733ad6c55f50b08a7cf75253af86f155,35392500049674946,35392500049674946,35392500049674946,False,5End1b67PoeXKdRFGy7x8c5kiJK6V1JvekcDaiBhHkL9WGgf,,,16,0,
727221056fed3b7eb0a95599a4d2a91622790121fca90b639149c1baefc9d55d,35340811664111109,35340801664111109,35340801664111109,False,5EemDgLphxaQ4redKjQBx48GRj6fMfzgx3bqxg9VTASrbA7F,,,3,0,
468d67368043af5eb358d1fd5a52f601804be70f0b9905b841771d898c40af23,35339324979202940,35338708782913829,35338708782913829,False,5DfDDQC28HpvCpta4rqsZ8PRGJ3gTCyYeirSPuqcvMdFFSqZ,,,13,0,
5eacc24f4d5469fef3cfba9223f618e10c7e4a3ba32c34b0d4d25d00d395844c,35298752707702932,35248831254006081,35248831254006081,False,5ECqgJdg9s3EETf5jfwGzNJ1AFzJ1DRiaBzY58kkvhsyNTti,,,0,0,
d431172235dfcc9dc90170bad1898bd44102a736788debd27fc9528aae577170,35270846000000000,0,0,False,5GrvbGQPa5LEcCN84warYRbeAcA9gGV8eXrTdVC9roXNzMLQ,,,0,0,
863059eec646ec571257f779a1dc8193fcbe8cc52510289bf3ac03b04932ab15,35243748423745369,34364161277522844,34364161277522844,False,5F6eduHAfF3xwcMy1hUgCrbBkm8QE1fSy6NW8kG7PBzGsqzL,,,35,0,
6d6f646c70792f6e6f706c73014a000000000000000000000000000000000000,35073860328425770,0,0,False,5EYCAe5ijiYfAXEth5DYu9YoTfpF3vJkL9pe6ZCoQjv3dS2X,,,0,0,
ceeaf3a76ef3dd07c0057dc6ab7fe760e4b5adc459ac2e5320d6473cee03e64a,35028707538402460,34949699509288897,34949699509288897,False,5Gk1WvKBx7uyMT1pTPewGociUrQGN37rcHgSzvVh364xwvQh,,,3,0,
02f3cfdcbf818c54e00a93bf1926f0ea87e26a2baf3ba35a664a7a5d8e350d03,35016465428146397,28598629946369994,28598629946369994,False,5C8aP1HP6RHBMSYHVotHVdHc7pLVSec1be6a2QXxQBE37KQD,,,4,0,
99dc8b11f83ca218d6e794e3c97aac0f66b31a821124a357420f4797ec82e62f,35006224431268432,35004127809270068,35004127809270068,False,5FYShUAkMVPqzsgvdUy1N7kjjbZN8sSGF5RQDNpfuMjjV6MG,,,11,0,
a9c1ab67c33e83c7f7ff7fe283e8c4e6786da58b16e0d7470f40b0d8d9deeb27,35004612700000000,0,0,False,5FuHUtBkX82EXxpcX8tGvcdtvzsea7uRmR34Rv2FkfaLBnTz,,,0,0,
c445f56f1defc137ec9f884d111c169f4978e5aaa0e6525cc65ba1b06e88be52,34981782768355774,34979754844401889,34979754844401889,False,5GW42PAEtGKCftHPSzkfqhsXmViNqBAntU8K8gwDS8fr9CxV,,,23,0,
841e82df5b33c4cb8071c986c5d63908b3d46b4186d81ca75f44524fd7060c4f,34949478420456031,34949468420456031,34949468420456031,False,5F3wEyDpD1TSLnBNeXi86Tb65wRu4cwkKko1k2iSedD6iW4D,,,2,0,
10c614e3fe8bc413aab5cc34789a0e0a2b66b83663b628db1f659dbc7da5882b,34938788095299240,34876206964186742,34876206964186742,False,5CShTyMCX3bGzFNMjtZLo4nmsFCDVKoUV13PCUhnb39pxLa8,,,6,0,
603086e5a815d97e30e7c68ce575c887b69b6cedc8be35e59e31ba888f064039,34904114384130411,34894105107995560,34894105107995560,False,5EEpsPbzTjiNBSb7cY7jRwnkdwJQboADPcj2NXjmKJSaEZyr,,,1,0,
9ee79f7ad42e6ee9760b5307bc44cfdefdef2c117cd9e1134e53195737799437,34899416000000000,0,0,False,5Ff4EFk7tJR4v9h3pzG4QUAYWEoPTmeVDy4LQPMPjG2QNKjF,,,0,0,
de674a09f766a8cd1c2ad491f701f3ba829d258d90343dd5b4dd468359a3f60e,34871278841255424,34871260356088935,34871260356088935,False,5H6KAs4ZQwy9mgm7izv6G9gqEmMUsHmg4xaQ3giTkbrg78n8,,,23,0,
103040119b5315c07fa773784737ce9c8513af618d9c5afa172d21c838544a47,34866830000000000,0,0,False,5CRvxSPUaHHgWyuUav7UuHMwvw3zHVK8WvUvTMEmLLZmuLkW,,,0,0,
d265b75cd93cb2d6abd4f448ed25a225debe867a13083edc770c9edab6c9f323,34849655691019853,0,0,False,5Gpa8SAzZ3cTQsnxisEuXuzZqbFf326Y9MQrMMs12yQ7WFBh,,,1,0,
106d78a98e614b5e2cd0c07b449f97ae4b1a09585e8c45b272d8e0d9c07e3a24,34817705277810468,34815931637905535,34815931637905535,False,5CSF9FdJNmr1PoQjPCcFGDpC3bhFmDXTDWxMddKHeejDZwNq,,,13,0,
2e11bff05ac087b7fb882aab4450542a44cdfb61205d949bc7ae5886bfe22620,34720041510042907,34720041510042907,34720041510042907,False,5D77LFFBHNK5hveeYL6cS8YbsFieQvYTAQPpoKXyKJLEzmhf,,,7,0,
72fa5f18b657b285fb748b742da2eda08008442580c821060afc1d9ab3e6fc5c,34535404967000000,0,0,False,5EfTh5jZ1vkwEe9kWsXm2sA4nFB4dTo8x6QKB7uiVcyWDUvJ,,,0,0,
285c188378aa6385f4855c429764f46fb8b4b269a8dcbe3966269be940b53778,34505010212643339,34504013362699069,34504013362699069,False,5Cyd8XwJvienADxjMPsMabmRvVX42TZJzWHAK253DquaGReK,,,19,0,
fe0942a0c3c776dfc590dc814ab1c7c1f2ae47cd89e2cc04c0a7027489b21051,34395195441866084,34395195441866084,34395195441866084,False,5Honmf412syZ5za5ei5jPVt48asNSWD3CwC28DH8DTNBhFPa,,,4,0,
6d6f646c70792f6e6f706c730004000000000000000000000000000000000000,34259418325727898,33989508325727898,33989508325727898,False,5EYCAe5ijiYfAXEth5DCrTyNbiGTCFEtg8GP825aBRYVZBqv,,,0,0,
6cf06c3d06a7cc3cc0eda6035617da5667498cbdf5dd5650af6b80b98989c22f,34237864925893448,34235235834144561,34235235834144561,False,5EXYT1MynCqAjVGPtbuGThUqWgUa1ML5WkUrbRs8KeAPgdJy,,,6,0,
0673d06b66082fa9b617c01afd82fc7d1c637e8ad5774701634f4d2199d1c526,34231495030256000,2153920365045827,2153920365045827,False,5CDAYmFdACPB18pALian4nPsVEHoFoaPgk2zotHdABoP6nJB,,,0,0,
f67f6db8a7b30e6144c4ed75a42226cc44b343625d6be834facc6bee87b73b30,34206542492095096,34175536112625582,34175536112625582,False,5HduVRyMKk5yoUR6PRmmUPpHCLCtmtUjxE756ezsGNuwyNCK,,,3,0,
c896c79989914d1bbd6e5243258b17a2999193c514816b70d7a908cd9eccff47,34202138916543023,33000000000000000,33000000000000000,False,5GbiE1EYboaKtWStVd5ziMSrEM4jZLdTNRT4rPXWncy4smeU,,,81,0,
a6b19138228879e72c9dabb1a40fee67da9428f25953319cc75cb83f245d6e64,34148313900000000,0,0,False,5FqGZ7eTUZkNQQ2Y1Uvm9NvdxLcf38rup9DKD6tNfPnPRPiX,,,0,0,
d65a9b85637f23f0a6572e03b44501b3a63e5d3f740c28f222c54b424ce00424,34056371501142784,34054776479514142,34054776479514142,False,5Gum29LsnbyiLADfrRqzsm4WN2hn98oyZH3j9SDKLi4fwmR1,,,24,0,
eec860c14479b42a70d2ed3abc1ae949b57ab6a37a8c33e940e63461b4a46b27,34016419138027982,326179138027982,326179138027982,False,5HTnn6ogPUwQGG4Bd42y3JEgkvRnjNqqUC48gPFtKFeB5SJu,,,6,0,
16095fa248a0b4c7bf3c3a75e9ab681e71229434609775340d0864e5f635b61b,34014090797919299,34014090797919299,34014090797919299,False,5CZbhGktwY1c2vfDYXcNyoxqkNu4hDtreqEtJjPcXYu1t4Fe,,,11,0,
d42c93cc82cb49cd2e6de1323a3eafea7fce15e0ba4c299a24c851dfb516f95d,34008703869522822,34006706605816151,34006706605816151,False,5GruFWThu3tREJT5sUpUpMvwqTDrTD3NBAqSsS2AbVB7c2tU,,,8,0,
2245aea26a5a25448ba924089e8ade78f18c5497294009a4aae4defe003f037c,33983900000000000,0,0,False,5CqeBhA2NBocDutyjNDQQVXhYvaeFB36EeVfqfzcRvMbACjD,,,0,0,
6abaf43306df2ef896a96ef90a42e69de92d83b2832e764e23965d5a6f5c92f6,33962965094728277,33962964439228310,33962964439228310,False,5EUeUCporDT4Gqmc4XZuJRvZ44hi7gkpkqy2CMC3f6vhUDfs,,,11,0,
cc40e62e5507387c768cb719c1d8d6edbaffd5774b30c79b4341c081c8799139,33815873542477912,33812866023712282,33812866023712282,False,5GgWuRi25eH9oLUWgRG1bLQqCocwrxhFEm4LiixNqH6SfA7Z,,,2,0,
0838615cbd33e32efdf7cbd77c9d559a63970bdd4c3d9cb10c8f60b9b99e7325,33774494920895086,33773512176910372,33773512176910372,False,5CFUzJDJHYakSWHqypMaeZu9woxjJzGSUzNE4wAypEtG6yQA,,,18,0,
1652edf4531c6ab1ae7afac24c195bb917dd044ab33a95c6791508fb70ccbd73,33715459702850470,33714792435753525,33714792435753525,False,5CZyYcSQJedz9i8Uuoim3UusMF9PUYStrPAy45SVwxtWYCLV,,,8,0,
beac70f7b619ef7d56f893b707c0c7a1d805aac2903a3d44a0e52621f5e87238,33706839788910344,33706829788910344,33706829788910344,False,5GNiBTBiJGh35cDaBzwv57FHXexxvAV1Nv3vnvWjBHdMuw1b,,,1,0,
3469cf4cc4147b4b4758a49b927e0a8fc167510b2dfff802fce0769de4bcbd03,33625160294353462,33625150777137899,33625150777137899,False,5DFRn9avMgespCxrKt2NU9zb77C3vKZuZkfrZ3rczTxRZRLS,,,1,0,
9cc83f7224f21f69814c40b757b7ddcf288df2f951f3625b68af78eeb483f150,33588288250387106,33563614380869846,33563614380869846,False,5FcGp7t3pnqgqBZTMvL1gtTifRFQVxhQ9tegpUXoHF6YvfXQ,,,5,0,
16c04071b5d51a4ef501574cf4a43a841483f060e8dd51a924f1950fdd482124,33562060270478786,0,0,False,5CaY2By88syF3x4EeXDh4DgoYibArZtifQyuEGmpRKHVcxKD,,,9,0,
b0d96732b3b1a133691602db3b1e4c19a244559d5596e6ac626ba49d2daf267c,33437205951563053,33437205951563053,33437205951563053,False,5G4asF8AAsp3ycmWc5U3duXZPSie6H1M8vhTAJxNdzwtYMrL,,,6,0,
c19262b2630812b93505abb96dfcb1d5fe6781c61753f199c0ca21b11153a223,33333592222890707,24492083940058984,24492083940058984,False,5GSWarVhWfqPfZnWJ2aPt8kGmptffnoC5YqQCa83z1jKMHLv,,,7,0,
4a1ced63a7f348543e3a468b9419f822412736282db1d67e5c3302d87a912479,33257501814831417,25980251553278230,25980251553278230,False,5DjszbWEBjFd18D4CjjfeQz5uZ8UzewoG7mBuLMs5tdykub9,,,5,0,
8894db9957ebcf34eea3deefd0cf5692540a72fafad82e0d8f2307794fdb3657,33165746699149388,31786052590266821,31786052590266821,False,5F9nb9HSF5w5D5qfAaN2zqsHTQFBTXQ3CZJwarY3dBvMA3Zo,,,5,0,
caffb8a8eb910a96cb6e0aaff1ac8b24374b995995decd227e4e8cb19bec4910,33119322264594863,33117920132749733,33117920132749733,False,5GesVfLiE4pjnxtUtHsECAkN2sV3CrCRJsSSkuCGqbFPWX8z,,,4,0,
249f04b1b7cbc1f18b802b6d2e8e65f5bc07ecd7be58ddf9a143e3d1ac69cb6b,33072400750832844,33072400750832844,33072400750832844,False,5CtipUTNDxz8ypA2LdzJhoxrU1HHZM6Kzbp3vvKWvmppMDsW,,,0,0,
78d50ca78acc45d0c453c63958a3d773e60f4ac28b247c323a58979a54a2e774,33003985403092666,33003981493077208,33003981493077208,False,5Eo8thhbw2tZLY1TSfgEwis6Td3fN6zGTgVkD4AbharTky2p,,,16,0,
f6c665924f2a6ecffac6c560563377beed6bb2968f00a42cedf495ff67198b57,32999621488639266,0,0,False,5HeGaBeVRcW6K6EmkRJsaGiukF8QCz9ydtZU7e3Dj3JZdiiw,,,5,0,
305af18556b37a2b88f76c2c7092c994142c60db0390773e5bc0be852e411160,32986667918786434,32985361222168037,32985361222168037,False,5DA7Au5jYgH7mU4gtu6ZDBSSMnwzjCD6VtB4KU2vMrvZyWaJ,,,2,0,
9802df1918e831dba12c8c721b385b4c07ced37178c38c91fc14c276ced7bb02,32962881052419272,32961076817073938,32961076817073938,False,5FW1zJ3czqoWsuHMFckp8icy2arR1A9QEVuDHEd4zCmex6pM,,,4,0,
966621c30f2b00bcdcbf6cab0f07deb965b57221e8ff9282df59ed775190ae4b,32920452804202100,32918768175417273,32918768175417273,False,5FTuNxTmx8iFrA9mb4ES9hpkvtULju16o9HPjzG4QWuTzW1H,,,28,0,
8084bf26182039e1a33b8efa29bf77a823aa09a818384c7fbd23d2770e34c67d,32906062782026616,25001000000000000,25001000000000000,False,5EyDRLV7tjkK6bx7LETkpBc6fnwgF2zXYEVLrqMLqMNimEeT,,,24,0,
3a4fd4c91855c374c769d5806d4bfc129026eeffa85b9884fb76e450021c7870,32882054285858721,16234137634490,16234137634490,False,5DPAMDGZcf5FpGHinvYjbaEy5d4g5daf5psDGJEhzVQ6PYwn,,,4,0,
d08c11d835ebd0d251c57ade011b82aa967671c88778a81bd35ffa327d46d86b,32866879776292486,32866174126461176,32866174126461176,False,5Gn9RhF7NutPJavsDcF95CrwiE7Enx3ABthnXTSzCAYZJoxj,,,11,0,
9ebf9aa8f1828138b9b95a6089bde9fb4653c8d3dd00c6314460fac9142cb43e,32858068000000000,0,0,False,5FerLkG3GVbiiLyiVKQjJJkqnYoGJPDfEKxeQ9snHDAZe1rM,,,0,0,
8ef4531f7dac2bbb9787a76d56d66652fb69aecbf2c44be0547cbd35e5f1ac5e,32850114294712586,32850114294712586,32850114294712586,False,5FJ9EfT5tuUTW6zdR4wpB9Rt1NagkunzhqhKp2u5K3oTi8Ye,,,11,0,
c065e2262295c55f74e13c461139e67fa80e85b93201aad9533cbf2ef76f2a7f,32847545539029745,32847326915506429,32847326915506429,False,5GQyKKgHaF76b31YwHnBNc7QND686TaM7DYBuWywJ7hrTCsX,,,10,0,
4c04a20b5af2de44c43cb56e3bffa21ff8e96cecf157ecff05b65587647bc71c,32783692942020495,32783692942020495,32783692942020495,False,5DnNsZxRVSfxxfWJ3JKzM7yb6cuBHHJWp3nJG4QpcbMy9wmo,,,5,0,
74a9ffdbe24a7ba06ed06bee29cf7fdc0c49cfaa18cbd43a501b89d48047ab3d,32752763686797767,32751765334137509,32751765334137509,False,5Ehfuro8owdmpfVz34vd7XrBq7xk3wSoMCbHykUnygq5MLMf,,,1,0,
5ac353881a105e2d34494b2608b7b0bc5e175d22cd21fa0b6b36c3d59ade8a05,32718696879290443,32708687954318558,32708687954318558,False,5E7iC29f7PSvPTwzzF2U6myBmG8XxkSTCUirUP6rjS9NUYo7,,,3,0,
22280051508f18a9cb25f4c033831a1766be1b4047af3da9818d742acc6ccd54,32653663884229777,32653653884229777,32653653884229777,False,5CqVNJWcP9MPTyuYfKa69SgFURKsnuCmTpH36QXoZMEWu3MC,,,3,0,
c246f8571016cb937c10db977f8154bdad957be68bdf53e007e4c4d7de05fe33,32633139557063019,32633139557063018,32633139557063018,False,5GTSEFeoKQP8krFJDPevMC7c4cjYPiPNG8GtAsn8kfrsZgqe,,,2,0,
90f329f0aef7b47f57c0497ae3317d1fba60ae788d5a68b93fa79bd7f2efbb19,32560165258911644,32558921751906066,32558921751906066,False,5FLkzDYN24TURk3k9mkwQioxEWuJxETm1YvTqQ6qWWffWuYB,,,11,0,
aa23867e6d28cd6377820db33cbd9e846263814b05d505d1ac52ba0833a81760,32540709648900841,32540699648900841,32540699648900841,False,5FunYu92nqvMzoJ4EbpqLKYXF3h3TUvf3icoHJ1DQTSCNC53,,,19,0,
6e6e9f76fbf77f36fbdc63722b3736902ae65eafc37aab6dce171eac25751b35,32525108423915748,32524191563211863,32524191563211863,False,5EZVzAKcMcfsfdbd8ETjcQCe9oCwAthq7kPmfv2HKRt7Sr6D,,,2,0,
5a882dd8adac5e9cf8508178ba31c5900540ece24ae8a9e586e53f118806e279,32487235937126212,32387226592416361,32387226592416361,False,5E7QcwMZUahGd9YVQZJXriTVfuD1wS3MRPcLCNyvkoHmPgrX,,,1,0,
7cf0e27931c1e052b44a8ff1d2820faa0aecd3a4097518d95cb63a664e457123,32481991631133918,32446982935879158,32446982935879158,False,5EtXMQFPWu3UswKnDtGrSwv63ZFGzc5z7YjAMJaoi7jzKHDB,,,14,0,
ca664a46a3c74bd8fc7c29376ab3a0aeea3d8113f7a960ea030761e40b289446,32466737038119860,32462148066395155,32462148066395155,False,5Ge5v6zEq1o3SMvberwuwRCZmoP3BYtPuDHR8z67HaMjszjk,,,2,0,
1ab6dcdd1a514c085cbe09a34b0c07835252cba7d498a57011e878ad4c80dd5a,32332085242306227,32332075242306227,32332075242306227,False,5CfjRXjX3ePEp4ms1c4vTYsh7jSpwQTXY76uipixo4u2s3mA,,,10,0,
1a72c2c0f2635b2e217c89d85506289985b5dca085bfb77bb477e9c8876fe91d,32322269856743095,30000004318509124,30000004318509124,False,5CfPCAGpDCasc2CWhWiiaREBZwGHQwuaYFFomjHojeEY5cD4,,,17,0,
c8a1daec209ae5437d4a4844ca997ee22329b352409d91b13cb517b350021a0d,32321943967026711,17538552556689621,17538552556689621,False,5GbmWq9QqZcPDBc4nuvfdvQoacrAPt6JzSwRetbnKd7TJ7VS,,,143,0,
8a6e0dce262c747ac0ba09bc87171bc5d0886ac2345222b543985e7a5570f979,32320862908928486,32320862908928486,32320862908928486,False,5FCDA85q3AU9q3BtwWb9wmvUcuJYtMDHXhKACDzdyiuYUWuF,,,6,0,
a8db6fde9a8452826387cfa2588a5852da33ce834ad3a64de089530d99023912,32263023832724218,32134321666317900,32134321666317900,False,5Ft764w9aA8dMTBM6hC2tFGHeECWQrjxsHxDE93hP1KcH1PS,,,86,0,
c030a576e35356870e5a2e2ec43487776dfe3d1692a16024c68c2104ef44f315,32162863679988525,32162863679988525,32162863679988525,False,5GQhW51C6H2DA6mD7RfkFwFH8Wc2CCYpsEQAnqozNercgm6f,,,22,0,
aa96cdc4b86d66d1089d370110135903388ae478277b45fd3187df782ab73c5c,32152814224507896,0,0,False,5FvNo6nmYAZEFsP5qasJuSAJZqcRmTj5bs4ZSE1ptmbUodRP,,,631,0,
50fe6a44df6cd4e43f3b2ec6ca3e321fa83c13c6b7968d598df72c53507e0c2a,32089999737727853,0,0,False,5DtuGKke3AVfMPhqKbwCAgFhQXNZG9H3x3Y2NHzkEgaxdcH4,,,1,0,
183b423c56dbd9cb3a6e2a9d3622956871742018bd5afcfff844d2fe0361d30f,32000094195892720,32000000000000000,32000000000000000,False,5CcUcL1CrjfGryrkTFa1bdQN79cGzg4hpUYmunkpyxfh47ti,,,61,0,
78ada985f32409120a89e9695ee4d107dffb2b801944549bcca397db7e818a6c,31956520000000000,0,0,False,5EnwC5P5SA6nLJCEY4m2wcstG5tr6VoSKTm3tffkaw6vQQeG,,,0,0,
64076e2e827ba7df006bb49a8f6e6bd91ad5e28136c7e0f2a135ba41357c4776,31897656263946795,10001094115886591,10001094115886591,False,5EKrrRUZFtYqXZG8jaMgSFcc7i6Fa4DenKvdsU1jhgtwjcnt,,,11,0,
5a223ac88d0f32b150534bf32fe385606fc93e8b8097c2155ec8eaa0c2a81f36,31877435963312822,31877426569357722,31877426569357722,False,5E6tLPYnzKBx8vP7sPFsQ69xHEEFsboYMutyoFmzdeAAyXiY,,,10,0,
b4b2a07263ca5795587477ee3bb3b176be9d59c36a1372a2ebf1e4d2d1b02612,31872146671467294,31872146671467294,31872146671467294,False,5G9dYFanqMyk2GBsQXaYoX73XCmhSFPMtGdbCpRrEXsN2fPt,,,68,0,
62664f9ce3a86a84b2f2ff5361147800c033e759354b59a082579a39294ffb00,31863019213346137,31855025203446871,31855025203446871,False,5EHiwd4zDBNZT2vtsCW5dUwrGAx3aAGQuBcCLHRjn5nM7bXV,,,34,0,
22a4edefcde5ed3add99ac96507f6035e70d9004ac7ced79c7940cf6fd2e9978,31853000000000000,31853000000000000,31853000000000000,False,5Cr8UmMMwtdjDPzf4pxjr7PLwy59Mrj9N1F2ED6iwAXZCLmx,,,0,0,
fef2c44d56f41f3050da6cea105a82f9d686a47e15c62990829029c0a4da851b,31849860357184457,0,0,False,5Hpz8t3aPpajFy155jFfj7K8S74YaF881zJRnRZNLCWvuSNV,,,53,0,
684d823d913577120b16495853d008e1d32ec50517dc3a833321d0964133037a,31810322695737330,31805306409915853,31805306409915853,False,5ERTrxHVaz5nE8dhMacdNeAP4nbcrxjPgdKqLnzYUXk4jevR,,,11,0,
0e9e6eec58372a3ad677025fcc79cd0bfc653593d852f1e105635a98c6f6b56a,31794392401509016,31794384615958238,31794384615958238,False,5CPsbHxh3QTcEDFrFJQdyBNZY9vqVb8VaPPJpsVqi1m5ws3m,,,3,0,
f13e65439ae93d99db2c68c6f63a6ef0a73df2ef3cf83edfeed4db1d136de9dd,31722825220258692,30497377429463522,30497377429463522,False,5HX1w3x5QyGavghKQ4qMZFHHbbX4e7E33VCgPv4vy4inM3gm,,,11,0,
f4d9f036687a24efd8ebff4360662a4f8573ffcaa1e3d0cdff0b7b95b8df8363,31689778270081908,31679801229770332,31679801229770332,False,5HbkHKhATyADeZrGCqsdrrynnw5ZD6XkcNLFB5su6ryNvQJ2,,,4,0,
